group,word_counts,sentence_counts,char_counts,ocr_error_rates,avg_word_lengths,punctuation_freqs,recommendation
1997-05-labour_party,"from_csv:17697, PyMuPDF:17337, Tesseract:17488","from_csv:916, PyMuPDF:963, Tesseract:963","from_csv:109259, PyMuPDF:107779, Tesseract:108634","from_csv:0.9968, PyMuPDF:1.0000, Tesseract:0.9996","from_csv:5.1739, PyMuPDF:5.2168, Tesseract:5.2120","from_csv:0.0146, PyMuPDF:0.0154, Tesseract:0.0153",from_csv
1974-02-conservative_party,"from_csv:13796, PyMuPDF:13791, Tesseract:13922","from_csv:571, PyMuPDF:571, Tesseract:583","from_csv:82690, PyMuPDF:82763, Tesseract:83611","from_csv:0.9965, PyMuPDF:0.9973, Tesseract:0.9974","from_csv:4.9938, PyMuPDF:5.0013, Tesseract:5.0057","from_csv:0.0147, PyMuPDF:0.0148, Tesseract:0.0147",Tesseract
2015-05-liberal_democrats,"from_csv:33330, PyMuPDF:33937, Tesseract:34673","from_csv:1416, PyMuPDF:1393, Tesseract:1506","from_csv:211558, PyMuPDF:212405, Tesseract:217577","from_csv:0.9983, PyMuPDF:0.9965, Tesseract:0.9962","from_csv:5.3474, PyMuPDF:5.2588, Tesseract:5.2751","from_csv:0.0141, PyMuPDF:0.0141, Tesseract:0.0147",Tesseract
1983-06-conservative_party,"from_csv:12079, PyMuPDF:0, Tesseract:15705","from_csv:624, PyMuPDF:0, Tesseract:1360","from_csv:73868, PyMuPDF:0, Tesseract:96447","from_csv:0.9935, PyMuPDF:0.0000, Tesseract:0.9979","from_csv:5.1155, PyMuPDF:0.0000, Tesseract:5.1412","from_csv:0.0153, PyMuPDF:0.0000, Tesseract:0.0195",Tesseract
1974-10-conservative_party,"from_csv:14300, PyMuPDF:14341, Tesseract:14436","from_csv:665, PyMuPDF:665, Tesseract:665","from_csv:87080, PyMuPDF:87240, Tesseract:88045","from_csv:0.9971, PyMuPDF:0.9978, Tesseract:0.9979","from_csv:5.0896, PyMuPDF:5.0833, Tesseract:5.0991","from_csv:0.0136, PyMuPDF:0.0136, Tesseract:0.0135",Tesseract
2017-06-conservative_party,"from_csv:29030, PyMuPDF:29961, Tesseract:30569","from_csv:1204, PyMuPDF:1250, Tesseract:1288","from_csv:177335, PyMuPDF:182357, Tesseract:186359","from_csv:0.9972, PyMuPDF:0.9969, Tesseract:0.9971","from_csv:5.1087, PyMuPDF:5.0865, Tesseract:5.0964","from_csv:0.0143, PyMuPDF:0.0145, Tesseract:0.0144",Tesseract
1979-05-labour_party,"from_csv:9311, PyMuPDF:9297, Tesseract:9388","from_csv:485, PyMuPDF:483, Tesseract:485","from_csv:57264, PyMuPDF:57419, Tesseract:57921","from_csv:0.9971, PyMuPDF:1.0000, Tesseract:0.9999","from_csv:5.1503, PyMuPDF:5.1762, Tesseract:5.1698","from_csv:0.0151, PyMuPDF:0.0150, Tesseract:0.0149",Tesseract
2024-07-labour_party,"from_csv:N/A, PyMuPDF:25685, Tesseract:26291","from_csv:N/A, PyMuPDF:1300, Tesseract:1597","from_csv:N/A, PyMuPDF:162330, Tesseract:170608","from_csv:N/A, PyMuPDF:0.9974, Tesseract:0.9943","from_csv:N/A, PyMuPDF:5.3201, Tesseract:5.4893","from_csv:N/A, PyMuPDF:0.0158, Tesseract:0.0189",Tesseract
2017-06-liberal_democrats,"from_csv:20351, PyMuPDF:21191, Tesseract:22224","from_csv:918, PyMuPDF:968, Tesseract:989","from_csv:130542, PyMuPDF:135865, Tesseract:140237","from_csv:0.9972, PyMuPDF:0.9971, Tesseract:0.9958","from_csv:5.4146, PyMuPDF:5.4109, Tesseract:5.3102","from_csv:0.0141, PyMuPDF:0.0142, Tesseract:0.0142",Tesseract
1964-10-labour_party,"from_csv:9743, PyMuPDF:9731, Tesseract:9784","from_csv:424, PyMuPDF:395, Tesseract:395","from_csv:59640, PyMuPDF:59953, Tesseract:60417","from_csv:0.9972, PyMuPDF:1.0000, Tesseract:1.0000","from_csv:5.1214, PyMuPDF:5.1611, Tesseract:5.1752","from_csv:0.0143, PyMuPDF:0.0140, Tesseract:0.0139",Tesseract
