text,cmp_code,eu_code,pos,party,date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title,translation_en,id
agriculture,703.1,NA,40,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
and the environment.,501,NA,41,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
Ensure we are in full control of our fishing waters.,406,NA,42,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
We will negotiate a trade agreement next year,407,NA,43,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
– one that will strengthen our Union –,601.1,NA,44,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
and we will not extend the implementation period beyond December 2020.,110,NA,45,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"In parallel, we will legislate to ensure high standards of workers’ rights,",701,NA,46,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
environmental protection,501,NA,47,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
and consumer rights.,403,NA,48,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
The only way to deliver Brexit is with a Conservative majority in Parliament.,110,NA,49,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
A vote for any other party or candidate is a vote for Jeremy Corbyn,305.2,NA,50,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
– and a vote for more chaos.,305.3,NA,51,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
Unleash Britain’s Potential,H,NA,52,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"For the past nine years, the Conservatives have been cleaning up Labour’s mess.",305.1,NA,53,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"Because of the tough decisions that our party made and our success in bringing down the deficit ,",414,NA,54,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"the economy has continued to grow ,",410,NA,55,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
and the public finances have been restored.,414,NA,56,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"Thanks to Conservative policies, employment is at a near-record high.",701,NA,57,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"We’ve helped millions of people into work, halving the unemployment rate.",701,NA,58,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"We’ve doubled the personal allowance to £12,500, meaning that every worker gets to keep more of what they earn.",401,NA,59,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
We’ve introduced and consistently raised the National Living Wage,412,NA,60,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
– and will raise it still further.,412,NA,61,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
The strength of the UK’s balance sheet – the hard work done by all of us in this country – means that we are now in a position to invest properly in our future.,414,NA,62,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"A Conservative Government will give the public services the resources they need, supporting our hospitals,",504,NA,63,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
our schools,506,NA,64,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
and our police.,605.1,NA,65,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
We will help people and families throughout their lives by bringing down the cost of living,503,NA,66,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
and making sure that work always pays.,701,NA,67,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
We will keep costs down for small businesses – rather than hiking their taxes and crushing Britain’s prosperity.,403,NA,68,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"We will not borrow to fund day-to-day spending,",414,NA,69,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
but will invest thoughtfully and responsibly in infrastructure right across our country,411,NA,70,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
in order to increase productivity and,410,NA,71,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
wages.,701,NA,72,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"Our fiscal rules mean that public sector net investment will not average more than 3 per cent of GDP,",414,NA,73,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"and that if debt interest reaches 6 per cent of revenue, we will reassess our plans to keep debt under control.",414,NA,74,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
This means that debt will be lower at the end of the Parliament –,414,NA,75,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
rather than spiralling out of control under Labour.,305.1,NA,76,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"And we will use this investment prudently and strategically to level up every part of the United Kingdom,",414,NA,77,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
while strengthening the ties that bind it together.,601.1,NA,78,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"We will also prioritise the environment in the next Budget,",501,NA,79,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"investing in the infrastructure, science and research that will deliver economic growth, not just through the 2020s, but for decades to come.",411,NA,80,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"Above all, we will listen to the people who have felt left behind by the last few decades of economic growth and want to have more control of their future.",503,NA,81,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"We will get Brexit done, so we can unleash Britain’s potential.",110,NA,82,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
so we can unleash Britain’s potential.,601.1,NA,83,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
We Will Focus On Your Priorities,H,NA,84,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
"In his first months in office, the Prime Minister has shown how he intends to make life better for everyone in the UK.",503,NA,85,51620,201912,english,MARPOR,FALSE,TRUE,FALSE,c5dacb307705350e33bd4ad598eb8010,/down/originals/2020-1/51620_2019.pdf,2352aedf22264cd0db0c2d2495b2238b,TRUE,5,NA,Get Brexit done. Unleash Britain's potential,FALSE,51620_201912
